,reviews
167,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
168,I've stayed here many times over the years while traveling through maine. Very friendly staff. Their pub has relatively tasty food too! Rooms are clean and the beds are so comfy! Rooms also have all the amenities you could need for your stay!
169,Nothing major to speak of however this hotel is quite comfortable
170,We stayed for 3 nights and the first night was great. Room could have been a little cleaner especially the carpet and corners of room. Lots of dust so allergies became a problem. BIG NOTE! This is a dog friendly hotel! I love dogs and have 2 of my own but do not bring them to hotels. The 2nd night a dog actually 2 dogs started barking at 4:00 am. We were woken up until 6:00! The hotel usually has the 1st floor reserved for barking dogs but these people ended up on the 2nd floor. The Hotel kindly gave us credit for the one night. Not sure if I would stay there again.
171,"Clean, comfortable. I really liked the shower and the shower curtain!"
172,"We did not realize it is a dog friendly hotel and there were lots of dogs, including a yappy one right next to us. But I called the front desk and they took care of it. I am allergic to dogs but did not have any problem in our room. The breakfast service was horribly slow, both getting seated and waiting for coffee and food. Who wants to wait for coffee? I finally got my own out in the hallway. . . . Our last morning we just skipped breakfast because we didn't want to wait."
173,"The hotel was very clean, comfortable, and accommodating to the fact that we had a dog. However the restaurant that is attached to the hotel is what they use for the 'included breakfast', which has the poorest customer service and rudest employees I've encountered in a while."
174,Room was good and very clean
175,"We booked this hotel about a week ahead of time and were pleased. The hotel was recently updated. The bathrooms were beautiful. Our beds were comfy and clean. The pool and hot tub was a nice touch compared to the chilly weather outside. The only downfall was that someone put our bill under the door in the morning and it was substantially lower than what I had paid through expedia. When I inquired, I was told that it was a mistake and that I should not have gotten a bill. Breakfast was tasty but kind of pricy in the restaurant, the hotel did give us a credit but only for the registered adults. Not a free continental as advertised."
176,the cleaning products they use leave a toxic scent in every hallway and room. I feel bad for the employees hazardousworkingconditions
177,We enjoyed ourselves. Loud at night in the hallway but it was a weekend night so it's to be expected.
178,"We had a wonderful, relaxing time. The staff were completely attentive and accommodating. We had a corner king room with a kitchen, two patios and a deluxe bathroom. You had to drive into town but they said that Uber is available if you need it. This was our first visit to Palm Springs and hopefully not our last! It really... More"
179,"The hotel was clean and the people at the front desk are happy to help. Same with the staff that took care of our breakfast order. The French toast was really good, same with the oatmeal the potatoes were missing that something special but not bad. Stay away from the turkey bacon.... overcooked circles of leathery meat. It was sort of annoying that there was so many people packed into the pool, that it wasn't worth going in, and that was the reason we choose the hotel. There were hockey, cheer, basketball, and gymnastics tournaments in town for the weekendSo hotels and restaurants all were at max capacity"
